method,scenario,n,k,m,file_path,file_bytes,mean_time_s,std_time_s,mean_cost,std_cost,mean_c2e_bytes,mean_e2e_bytes,n_runs
edgehydra,failed_servers,4,3,1,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_24MiB.bin,25165824,0.20099999999999998,0.03608323710533743,37.333333333333336,0.0,33554432.0,50331648.0,3
edgedis,failed_servers,4,,,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_24MiB.bin,25165824,2.133,0.31385346899468863,34.888888888888886,2.199887763691479,25165824.0,102760448.0,3
edgehydra,normal,4,3,1,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_24MiB.bin,25165824,0.21633333333333335,0.030868898407440604,39.111111111111114,0.0,33554432.0,67108864.0,3
edgedis,normal,4,,,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_24MiB.bin,25165824,2.707333333333333,0.29495348032453456,33.55555555555555,0.31426968052735665,25165824.0,90177536.0,3
edgehydra,slow_servers,4,3,1,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_24MiB.bin,25165824,0.26133333333333336,0.00736357401145818,39.111111111111114,0.0,33554432.0,67108864.0,3
edgedis,slow_servers,4,,,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_24MiB.bin,25165824,2.587666666666667,0.21927202790648473,34.22222222222222,1.662958838566196,25165824.0,96468992.0,3
edgehydra,variable_file_sizes,4,3,4,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_120MiB.bin,125829120,0.9846666666666667,0.37748495187078507,195.55555555555554,0.0,167772160.0,335544320.0,3
edgedis,variable_file_sizes,4,,,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_120MiB.bin,125829120,3.345,0.5635814049451952,163.33333333333331,0.0,125829120.0,408944640.0,3
edgehydra,variable_file_sizes,4,3,4,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_144MiB.bin,150994944,0.879,0.323852847241871,234.66666666666666,0.0,201326592.0,402653184.0,3
edgedis,variable_file_sizes,4,,,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_144MiB.bin,150994944,4.108333333333333,0.6782724788427993,196.0,0.0,150994944.0,490733568.0,3
edgehydra,variable_file_sizes,4,3,4,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_1MiB.bin,1048576,0.12366666666666666,0.007363574011458175,1.6296327379014757,0.0,1398104.0,2796208.0,3
edgedis,variable_file_sizes,4,,,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_1MiB.bin,1048576,1.534,0.1538462435897174,1.4166666666666667,0.09886183566695661,1048576.0,3932160.0,3
edgehydra,variable_file_sizes,4,3,4,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_24MiB.bin,25165824,0.23866666666666667,0.05237259673616431,39.111111111111114,0.0,33554432.0,67108864.0,3
edgedis,variable_file_sizes,4,,,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_24MiB.bin,25165824,2.4926666666666666,0.3099551938945729,34.666666666666664,0.9428090415820634,25165824.0,100663296.0,3
edgehydra,variable_file_sizes,4,3,4,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_48MiB.bin,50331648,0.363,0.062465990746965676,78.22222222222223,0.0,67108864.0,134217728.0,3
edgedis,variable_file_sizes,4,,,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_48MiB.bin,50331648,3.7753333333333337,0.769092249921223,64.44444444444444,0.6285393610547066,50331648.0,155189248.0,3
edgehydra,variable_file_sizes,4,3,4,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_72MiB.bin,75497472,0.4626666666666667,0.07511916459126054,117.33333333333333,0.0,100663296.0,201326592.0,3
edgedis,variable_file_sizes,4,,,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_72MiB.bin,75497472,2.419,0.21087595089688788,97.33333333333333,0.9428090415820634,75497472.0,239075328.0,3
edgehydra,variable_file_sizes,4,3,4,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_96MiB.bin,100663296,0.5656666666666667,0.08262498949403196,156.44444444444446,0.0,134217728.0,268435456.0,3
edgedis,variable_file_sizes,4,,,/mnt/c/Users/Admin/OneDrive/Desktop/IS211_CSDLPT/Project/experiments/data/raw/video_96MiB.bin,100663296,2.7846666666666664,0.1353275860848613,130.66666666666666,0.0,100663296.0,327155712.0,3
